date,II,V5,SpO2,Art,BP,ETCO2,QRS,ST,QT,PR,SystBP,DiasBP,MAP
0,0,0,0.000138,0.026101,5.14283,0.086542,0.12,0.027,0.39,0.21,98,60,72.666667
1,0,0,0.000792,0.146561,5.221781,0.11116,0.12,0.027,0.39,0.21,98,60,72.666667
2,0.45,0.45,0.004555,0.740236,5.300732,0.135778,0.12,0.027,0.39,0.21,98,60,72.666667
3,0.6,0.6,0.026101,2.5,5.379683,0.160396,0.12,0.027,0.39,0.21,98,60,72.666667
4,0.45,0.45,0.146561,4.259764,5.458634,0.185014,0.12,0.027,0.39,0.21,98,60,72.666667
5,0,0,0.740236,4.853439,5.537585,0.209632,0.12,0.027,0.39,0.21,98,60,72.666667
6,0,0,2.5,4.995445,5.616536,0.23425,0.12,0.027,0.39,0.21,98,60,72.666667
7,-0.7,-0.7,4.259764,4.973899,5.909036,0.300128,0.12,0.027,0.39,0.21,98,60,72.666667
8,5,5,4.853439,4.853439,6.201535,0.366006,0.12,0.027,0.39,0.21,98,60,72.666667
9,-1.5,-1.5,4.973899,4.259764,6.494034,0.431884,0.12,0.027,0.39,0.21,98,60,72.666667
10,0,0,4.995445,2.934848,6.786533,0.497761,0.12,0.027,0.39,0.21,98,60,72.666667
11,0,0,4.999208,2.919248,7.079033,0.563639,0.12,0.027,0.39,0.21,98,60,72.666667
12,0.5,0.5,4.92489,2.900038,7.371532,0.629517,0.12,0.027,0.39,0.21,98,60,72.666667
13,1.4,1.4,4.906751,2.876453,8.05961,0.801249,0.12,0.027,0.39,0.21,98,60,72.666667
14,1.6,1.6,4.884336,2.847596,8.747688,0.97298,0.12,0.027,0.39,0.21,98,60,72.666667
15,1.65,1.65,4.856689,2.812437,9.435766,1.144711,0.12,0.027,0.39,0.21,98,60,72.666667
16,0.7,0.7,4.822675,2.769823,10.123844,1.316443,0.12,0.027,0.39,0.21,98,60,72.666667
17,0.2,0.2,4.780951,2.718497,10.811922,1.488174,0.12,0.027,0.39,0.21,98,60,72.666667
18,0,0,4.729959,2.657143,11.5,1.659906,0.12,0.027,0.39,0.21,98,60,72.666667
19,0,0,4.667922,2.58446,12.188078,2.078605,0.12,0.027,0.39,0.21,98,60,72.666667
20,0,0,4.592859,2.499272,12.876156,2.497304,0.12,0.027,0.39,0.21,98,60,72.666667
21,0,0,4.502637,2.400671,13.564234,2.916004,0.12,0.027,0.39,0.21,98,60,72.666667
22,0,0,4.395055,2.288183,14.252312,3.334703,0.12,0.027,0.39,0.21,98,60,72.666667
23,0,0,4.267987,2.161953,14.94039,3.753403,0.12,0.027,0.39,0.21,98,60,72.666667
24,0,0,4.119574,2.022896,15.628468,4.172102,0.12,0.027,0.39,0.21,98,60,72.666667
25,0,0,3.948484,1.872796,15.920967,5.045577,0.12,0.027,0.39,0.21,98,60,72.666667
26,0,0,3.754201,1.714293,16.213467,5.919051,0.12,0.027,0.39,0.21,98,60,72.666667
27,0,0,3.53732,1.55075,16.505966,6.792526,0.12,0.027,0.39,0.21,98,60,72.666667
28,0,0,3.299781,1.38599,16.798465,7.666001,0.12,0.027,0.39,0.21,98,60,72.666667
29,0,0,3.044986,1.223951,17.090964,8.539475,0.12,0.027,0.39,0.21,98,60,72.666667
30,0,0,2.777722,1.068317,17.383464,9.41295,0.12,0.027,0.39,0.21,98,60,72.666667
31,0,0,2.503873,0.922197,17.462415,10.760791,0.12,0.027,0.39,0.21,98,60,72.666667
32,0,0,2.229931,0.787911,17.541366,12.108633,0.12,0.027,0.39,0.21,98,60,72.666667
33,0,0,1.962398,0.666903,17.620317,13.456475,0.12,0.027,0.39,0.21,98,60,72.666667
34,0,0,1.70718,0.559776,17.699268,14.804317,0.12,0.027,0.39,0.21,98,60,72.666667
35,0,0,1.469101,0.466418,17.778219,16.152158,0.12,0.027,0.39,0.21,98,60,72.666667
36,0,0,1.251605,0.386165,17.85717,17.5,0.12,0.027,0.39,0.21,98,60,72.666667
37,0,0,1.056671,0.317988,17.875617,18.847842,0.12,0.027,0.39,0.21,98,60,72.666667
38,0,0,0.884931,0.260648,17.894065,20.195683,0.12,0.027,0.39,0.21,98,60,72.666667
39,0,0,0.735894,0.212826,17.912513,21.543525,0.12,0.027,0.39,0.21,98,60,72.666667
