date,II,V5,SpO2,Art,BP,ETCO2
0,0.000000,0.000000,0.000138,0.026101,5.142830,0.086542
1,0.000000,0.000000,0.000792,0.146561,5.221781,0.111160
2,0.450000,0.450000,0.004555,0.740236,5.300732,0.135778
3,0.600000,0.600000,0.026101,2.500000,5.379683,0.160396
4,0.450000,0.450000,0.146561,4.259764,5.458634,0.185014
5,0.000000,0.000000,0.740236,4.853439,5.537585,0.209632
6,0.000000,0.000000,2.500000,4.995445,5.616536,0.234250
7,-0.700000,-0.700000,4.259764,4.973899,5.909036,0.300128
8,5.000000,5.000000,4.853439,4.853439,6.201535,0.366006
9,-1.500000,-1.500000,4.973899,4.259764,6.494034,0.431884
10,0.000000,0.000000,4.995445,2.934848,6.786533,0.497761
11,0.000000,0.000000,4.999208,2.919248,7.079033,0.563639
12,0.500000,0.500000,4.924890,2.900038,7.371532,0.629517
13,1.400000,1.400000,4.906751,2.876453,8.059610,0.801249
14,1.600000,1.600000,4.884336,2.847596,8.747688,0.972980
15,1.650000,1.650000,4.856689,2.812437,9.435766,1.144711
16,0.700000,0.700000,4.822675,2.769823,10.123844,1.316443
17,0.200000,0.200000,4.780951,2.718497,10.811922,1.488174
18,0.000000,0.000000,4.729959,2.657143,11.500000,1.659906
19,0.000000,0.000000,4.667922,2.584460,12.188078,2.078605
20,0.000000,0.000000,4.592859,2.499272,12.876156,2.497304
21,0.000000,0.000000,4.502637,2.400671,13.564234,2.916004
22,0.000000,0.000000,4.395055,2.288183,14.252312,3.334703
23,0.000000,0.000000,4.267987,2.161953,14.940390,3.753403
24,0.000000,0.000000,4.119574,2.022896,15.628468,4.172102
25,0.000000,0.000000,3.948484,1.872796,15.920967,5.045577
26,0.000000,0.000000,3.754201,1.714293,16.213467,5.919051
27,0.000000,0.000000,3.537320,1.550750,16.505966,6.792526
28,0.000000,0.000000,3.299781,1.385990,16.798465,7.666001
29,0.000000,0.000000,3.044986,1.223951,17.090964,8.539475
30,0.000000,0.000000,2.777722,1.068317,17.383464,9.412950
31,0.000000,0.000000,2.503873,0.922197,17.462415,10.760791
32,0.000000,0.000000,2.229931,0.787911,17.541366,12.108633
33,0.000000,0.000000,1.962398,0.666903,17.620317,13.456475
34,0.000000,0.000000,1.707180,0.559776,17.699268,14.804317
35,0.000000,0.000000,1.469101,0.466418,17.778219,16.152158
36,0.000000,0.000000,1.251605,0.386165,17.857170,17.500000
37,0.000000,0.000000,1.056671,0.317988,17.875617,18.847842
38,0.000000,0.000000,0.884931,0.260648,17.894065,20.195683
39,0.000000,0.000000,0.735894,0.212826,17.912513,21.543525
40,0.000000,0.000000,0.608248,0.173224,17.930961,22.891367
41,0.000000,0.000000,0.500145,0.140619,17.949408,24.239209
42,0.000000,0.000000,0.409465,0.113904,17.967856,25.587050
43,0.000000,0.000000,0.334005,0.092100,17.972016,26.460525
44,0.000000,0.000000,0.271628,0.074363,17.976175,27.333999
45,0.000000,0.000000,0.220351,0.059971,17.980335,28.207474
46,0.000000,0.000000,0.178388,0.026101,17.984495,29.080949
47,0.000000,0.000000,0.144176,0.146561,17.988654,29.954423
48,0.000000,0.000000,0.116366,0.740236,17.992814,30.827898
49,0.000000,0.000000,0.093817,2.500000,17.993744,31.246597
50,0.000000,0.000000,0.000138,4.259764,17.994675,31.665297
51,0.000000,0.000000,0.000792,4.853439,17.995605,32.083996
52,0.450000,0.450000,0.004555,4.995445,17.996535,32.502696
53,0.600000,0.600000,0.026101,4.973899,17.997466,32.921395
54,0.450000,0.450000,0.146561,4.853439,17.998396,33.340094
55,0.000000,0.000000,0.740236,4.259764,17.998604,33.511826
56,0.000000,0.000000,2.500000,2.934848,17.998811,33.683557
57,-0.700000,-0.700000,4.259764,2.919248,17.999019,33.855289
58,5.000000,5.000000,4.853439,2.900038,17.999227,34.027020
59,-1.500000,-1.500000,4.973899,2.876453,17.999434,34.198751
60,0.000000,0.000000,4.995445,2.847596,17.999642,34.370483
61,0.000000,0.000000,4.999208,2.812437,17.999688,34.436361
62,0.500000,0.500000,4.924890,2.769823,17.999735,34.502239
63,1.400000,1.400000,4.906751,2.718497,17.999781,34.568116
64,1.600000,1.600000,4.884336,2.657143,17.999827,34.633994
65,1.650000,1.650000,4.856689,2.584460,17.999874,34.699872
66,0.700000,0.700000,4.822675,2.499272,17.999920,34.765750
67,0.200000,0.200000,4.780951,2.400671,17.999933,34.804792
68,0.000000,0.000000,4.729959,2.288183,17.999947,34.843833
69,0.000000,0.000000,4.667922,2.161953,17.999960,34.882875
70,0.000000,0.000000,4.592859,2.022896,17.999973,34.921917
71,0.000000,0.000000,4.502637,1.872796,17.999987,34.960958
72,0.000000,0.000000,4.395055,1.714293,18.000000,35.000000
73,0.000000,0.000000,4.267987,1.550750,18.000000,35.031250
74,0.000000,0.000000,4.119574,1.385990,18.000000,35.062500
75,0.000000,0.000000,3.948484,1.223951,18.000000,35.093750
76,0.000000,0.000000,3.754201,1.068317,18.000000,35.125000
77,0.000000,0.000000,3.537320,0.922197,18.000000,35.156250
78,0.000000,0.000000,3.299781,0.787911,18.000000,35.187500
79,0.000000,0.000000,3.044986,0.666903,18.000000,35.218750
80,0.000000,0.000000,2.777722,0.559776,18.000000,35.250000
81,0.000000,0.000000,2.503873,0.466418,18.000000,35.281250
82,0.000000,0.000000,2.229931,0.386165,18.000000,35.312500
83,0.000000,0.000000,1.962398,0.317988,18.000000,35.343750
